#{"t_start": 1622706762.9693499, "env_id": "AntEnv-v5"}
r,l,t,reward_velocity,reward_rotation,reward_position,reward,reward_ctrl,reward_orientation,reward_motion,reward_contact,reward_torque
29.305804,48,4.160789,0.7999508023943669,0.3962097918354279,-0.028600051749597493,0.9756487305918332,-0.021673576578539595,-0.000338224675003109,1.7406315640469354,-0.0,-0.16990001063482132
16.866503,100,4.648673,1.6002661131798745,0.45209377381113636,-0.10580651596154905,0.9574892934784887,-0.06975625231863973,-0.0006552951957510265,1.0787920568904124,-0.0,-0.9186525300365824
12.028737,25,4.752225,0.16312318884114055,0.4701930684289102,-0.08577234277389928,-0.16637144613898325,-0.010001038838183495,-7.598427893390184e-05,2.555126464665586,-0.0,-0.7038383375180173
-67.040259,512,7.161682,0.8029953312148981,0.00033247488027383996,-1.9240977231093999,-4.016569924686047,-0.12043296765997873,-0.014323643616191617,0.8877232360633263,-0.44715021311368774,-2.313893183281962
-20.630913,25,7.293994,0.003394375813481511,0.32083367794455775,-0.024466037003000637,-4.023864221572587,-0.32164774689707976,-0.0014881373823913521,5.522404047539542,-0.0,-4.0004903540481545
-74.094644,54,7.520376,0.04319056935417198,0.008662519009141736,-0.02584514934362701,-3.538911287956503,-0.0888733179397575,-0.004955006409681543,3.539480755926622,-0.0,-3.4710909026267505
-17.186982,16,7.591287,0.005209396623546031,0.7248081214512416,-0.02210264580776676,-0.10405423054995644,-0.3786001696818165,-0.0009225765025083521,4.460629992234243,-0.0,-0.43244635663265246
-2.487857,24,7.706345,0.016067218081370658,0.04397970239919121,-0.005015923827932129,-0.8044859222973211,-0.17227362832525336,-9.345928832709701e-06,3.2130506010464477,-0.0,-0.6872339446958647
-11.452682,17,7.79037,0.29697342129082493,0.018112385530800256,-0.005177870695883403,-0.06590623194037526,-0.03602929715242296,-2.1610530066903193e-05,2.047635985042871,-0.0,-0.3397632603836272
-24.495717,14,7.862963,0.010220350013609663,0.08662692449183836,-0.002374942793417977,-0.8965416596108857,-0.45491959331177273,-0.00070263723931032,3.9349674620807535,-0.0,-0.5353917607718327
-21.241893,51,8.105831,0.2842388527176838,0.48843488967942317,-0.00035220452815408866,-5.2045971075959,-0.06721978359578558,-0.016016876625660023,1.6166481743747303,-0.0,-5.893681985243407
-34.728376,16,8.189442,0.020886380610312283,0.34401619873251343,-0.003925078174367882,-1.1764230029075216,-0.5286694734843224,-0.001976632600066247,4.380826421862654,-0.0,-1.0067543979915907
-18.814799,16,8.270233,0.09527782931627504,1.0750913474433759,-0.0015124820810781038,-0.34667636676662716,-0.5099268861638617,-0.0008125592632092077,3.2421977458346363,-0.0,-1.004793616018129
-23.259233,15,8.342098,0.022450093074653017,0.23558514715283735,-0.0008378462677617791,-1.691286107534109,-0.4719906002631969,-0.0013455887979240081,4.403135573187051,-0.0,-1.4751473124327166
-16.655901,14,8.415288,0.34573355269216893,0.28189227460537813,-0.00243541881599989,-4.235851774400179,-0.22314981422435173,-0.00012354316202037083,1.3095956302032785,-0.0,-4.637768825495354
-19.379047,17,8.500473,0.22134036022064582,0.04123560877261258,-0.0031314870705098446,-1.2096636940810828,-0.03471348857845776,-0.00036757320828507603,1.7919765043174751,-0.0,-1.4340271142170884
-6.363588,12,8.558662,0.0322183874899844,0.008763473335347851,-0.0031165838821910386,-0.9220987260138234,-0.154024169989289,-0.001364017988488466,2.7375028222389477,-0.0,-0.8045758149791871
